EVENT,TIME,VALUE
game_start,120,null
game_over,69,21134,LOSE
player_killed,69,21134,null
small_enemy_hit,107,4357,null
small_enemy_hit,102,2902,null
small_enemy_hit,102,2902,null
small_enemy_hit,102,2902,null
small_enemy_hit,101,1848,null
small_enemy_hit,101,1848,null
small_enemy_hit,101,1848,null
small_enemy_hit,100,1024,null
small_enemy_hit,69,99869,null
small_enemy_killed,102,2902,null
small_enemy_killed,101,1848,null
small_enemy_killed,101,1848,null
small_enemy_killed,100,1024,null
big_enemy_hit,71,13787,null
big_enemy_hit,69,99869,null
big_enemy_hit,69,99869,null
big_enemy_hit,69,99869,null
big_enemy_killed,69,99869,null
player_attack,118,1579,null
player_attack,107,8595,null
player_attack,102,6917,null
player_attack,101,5917,null
player_attack,100,5076,null
player_attack,99,42319,null
player_attack,98,15706,null
player_attack,95,00839,null
player_attack,93,85995,null
player_attack,92,65515,null
player_attack,91,48382,null
player_attack,71,56346,null
player_attack,70,42546,null
player_attack,69,21134,null
