EVENT,TIME,VALUE
game_start,120,null
game_over,0,LOSE
small_enemy_hit,104,7963,null
small_enemy_hit,103,6063,null
small_enemy_hit,89,79467,null
small_enemy_hit,88,72587,null
small_enemy_hit,73,65765,null
small_enemy_hit,72,46613,null
small_enemy_hit,10,71702,null
small_enemy_hit,7,128673,null
small_enemy_hit,5,991422,null
small_enemy_hit,1,878341,null
small_enemy_killed,103,6063,null
small_enemy_killed,88,72587,null
small_enemy_killed,72,46613,null
small_enemy_killed,7,128673,null
small_enemy_killed,1,878341,null
big_enemy_hit,46,02024,null
big_enemy_hit,44,87009,null
big_enemy_hit,10,71702,null
big_enemy_hit,9,571768,null
big_enemy_hit,9,571768,null
big_enemy_hit,8,346701,null
big_enemy_killed,44,87009,null
big_enemy_killed,9,571768,null
big_enemy_killed,8,346701,null
player_attack,105,2185,null
player_attack,104,0089,null
player_attack,102,9748,null
player_attack,91,26717,null
player_attack,90,21858,null
player_attack,89,15141,null
player_attack,88,03873,null
player_attack,74,08013,null
player_attack,72,87743,null
player_attack,71,76013,null
player_attack,46,44352,null
player_attack,45,28808,null
player_attack,44,17076,null
player_attack,11,14902,null
player_attack,9,996804,null
player_attack,8,77082,null
player_attack,7,542991,null
player_attack,6,407277,null
player_attack,2,285984,null
player_attack,1,127237,null
